,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80 or above
,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
,3.9,3.9,5.59,3.9,3.9,20.24,3.9,3.9,3.9
,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
,5.35,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
,3.9,3.9,3.9,3.9,4.18,3.9,3.9,3.9,3.9
,3.9,3.9,3.9,3.9,4.84,3.9,3.9,3.9,3.9
,3.9,3.9,3.9,3.9,3.9,3.9,3.9,6.39,5.18
,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
,3.9,3.9,3.9,3.9,3.9,3.9,3.9,4.51,3.9
,10.23,3.9,4,3.9,3.9,3.9,3.9,3.9,3.9
,3.9,3.9,3.9,3.9,4.24,3.9,5.19,3.9,3.9
,3.9,3.9,3.9,3.9,5.73,3.9,3.9,3.9,3.9
,3.9,3.9,3.9,3.9,3.9,3.9,3.9,4.33,3.9
,7.13,3.9,3.9,3.9,3.9,3.9,3.9,4.11,3.9
,3.9,4.17,3.9,3.9,3.9,3.9,3.9,3.9,3.9
,3.9,3.9,3.9,6.37,3.9,3.9,3.9,4.22,3.9
,3.9,6.34,3.9,3.9,3.9,3.9,3.9,3.9,30.07
,3.9,3.9,3.9,3.9,5.58,3.9,3.9,3.9,3.9
,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
,4.39,3.9,3.9,3.9,3.9,3.9,3.9,4.38,3.9
,,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
,,3.9,3.9,3.9,3.9,6.61,3.9,3.9,3.9
,,3.9,3.9,3.9,3.9,3.9,3.9,3.9,4.82
,,3.9,3.9,3.9,3.9,3.9,3.9,3.9,4.38
,,4.92,3.9,3.9,3.9,3.9,3.9,3.9,3.9
,,3.9,3.9,3.9,3.9,3.9,4.64,3.9,10.93
,,3.9,3.9,3.9,3.9,3.9,3.9,,5.67
,,4.2,3.9,3.9,3.9,,3.9,,4.22
,,3.9,,3.9,3.9,,,,
,,,,3.9,3.9,,,,
