,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80 or above
,3.9,3.9,610.31,3.9,119.14,354.39,27.64,6.21,5.23
,3.9,4.01,3.9,3.9,3.9,3.9,6.13,3.9,3.9
,3.9,3.9,3.9,3.9,508.58,3.9,4.56,3.9,3.9
,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,20.52
,3.9,3.9,3.9,3.9,3.9,3.9,3.9,4.05,3.9
,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
,3.9,4.21,3.9,3.9,3.9,3.9,3.9,3.9,3.9
,3.9,3.9,801,7.48,3.9,3.9,3.9,15.14,3.9
,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
,3.9,3.9,3.9,3.9,3.9,3.9,13.12,4.8,16.18
,3.9,3.9,641.19,3.9,464.15,3.9,3.9,3.9,3.9
,3.9,3.9,3.9,11.21,3.9,3.9,3.9,3.9,3.9
,3.9,3.9,3.9,11.49,3.9,3.9,3.9,3.9,3.9
,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
,3.9,3.9,3.9,283.24,303.2,3.9,5.63,4.35,3.9
,11,3.9,3.9,3.9,3.9,3.9,801,3.9,3.9
,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
,3.9,801,110.62,4.11,3.9,3.9,801,51.26,3.9
,3.9,3.9,706.34,491.08,3.9,3.9,4.65,3.9,9.63
,3.9,4.52,3.9,3.9,3.9,3.9,12.46,3.9,3.9
,3.9,3.9,3.9,3.9,589.95,3.9,3.9,3.9,3.9
,3.9,3.9,41.91,3.9,6.07,3.9,3.9,3.9,3.9
,3.9,3.9,547.76,80.67,376.36,3.9,3.9,6.02,3.9
,3.9,4.48,3.9,3.9,3.9,3.9,3.9,3.9,3.9
,3.9,139.7,3.9,14.35,3.9,3.9,147.9,3.9,3.9
,,3.9,345.16,4.06,3.9,3.9,3.9,3.9,3.9
,,160.97,3.9,3.9,10.56,3.9,3.9,3.9,3.9
,,3.9,801,3.9,11.99,3.9,801,14.06,7.72
,,599.41,9.06,610.82,3.9,3.9,51.52,287.2,3.9
,,3.9,801,593.63,3.9,3.9,3.9,3.9,3.9
,,159.26,164.76,3.9,3.9,3.9,36.43,141.35,3.9
,,3.9,3.9,12.21,53.01,25.71,3.9,3.9,3.9
,,,,3.9,801,3.9,3.9,,
,,,,,3.9,3.9,118.14,,
,,,,,37.33,3.9,5.88,,
