,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80 or above
,3.9,3.9,3.9,3.9,4.21,3.9,3.9,3.9,3.9
,3.9,3.9,3.9,5.03,3.9,3.9,3.9,3.9,3.9
,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
,4.64,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
,5.18,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
,3.9,3.9,3.9,4.24,3.9,3.9,3.9,3.9,3.9
,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
,3.9,3.9,3.9,3.9,5.11,3.9,3.9,3.9,3.9
,3.9,3.9,3.9,3.9,4.32,3.9,3.9,3.9,3.9
,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
,6.19,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,5.37
,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
,3.9,3.9,3.9,3.9,8.31,3.9,3.9,3.9,3.9
,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
,3.9,3.9,3.9,3.9,3.9,3.9,3.9,20.57,3.9
,3.9,3.9,3.9,3.9,4.05,3.9,3.9,25.12,3.9
,,3.9,3.9,22.93,3.9,3.9,3.9,3.9,3.9
,,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
,,3.9,4.57,3.9,3.9,3.9,98.37,3.9,3.9
,,3.9,3.9,4.67,3.9,3.9,3.9,3.9,3.9
,,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
,,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
,,3.9,3.9,3.9,3.9,3.9,3.9,6.47,3.9
,,,3.9,4.42,3.9,3.9,3.9,3.9,3.9
,,,3.9,4.5,3.9,3.9,11.38,3.9,3.9
,,,,3.9,3.9,3.9,65.68,3.9,
