,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80 or above
,3.9,3.9,3.9,9.47,3.9,3.9,3.9,3.9,3.9
,3.9,3.9,14.78,3.9,3.9,3.9,3.9,8.83,3.9
,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
,3.9,3.9,3.9,96.35,3.9,3.9,3.9,3.9,3.9
,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
,3.9,3.9,3.9,3.9,3.9,3.9,3.9,4.73,3.9
,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
,3.9,3.9,3.9,3.9,3.9,11.24,3.9,3.9,3.9
,3.9,3.9,3.9,3.9,3.9,3.9,4.99,3.9,3.9
,3.9,3.9,3.9,3.9,5.57,3.9,3.9,250.15,3.9
,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
,3.9,3.9,3.9,3.9,716.95,3.9,4.15,4.19,3.9
,3.9,4.92,18.74,801,31.5,3.9,23.77,3.9,3.9
,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
,3.9,37.91,4.55,156.93,3.9,3.9,3.9,4.04,3.9
,3.9,3.9,3.9,5.12,7.18,3.9,3.9,3.9,3.9
,4.48,3.9,3.9,3.9,3.9,3.9,3.9,4.26,3.9
,3.9,3.9,7.81,3.9,3.9,3.9,3.9,139.75,3.9
,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
,3.9,4.71,3.9,3.9,3.9,4,3.9,3.9,3.9
,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
,3.9,3.9,3.9,3.9,3.9,801,3.9,3.9,3.9
,3.9,3.9,3.9,3.9,3.9,3.9,3.9,23.79,3.9
,3.9,3.9,3.9,3.9,3.9,3.9,9.62,3.9,3.9
,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
,,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
,,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
,,3.9,4.11,3.9,689.41,3.9,3.9,3.9,4.33
,,3.9,3.9,3.9,3.9,209.81,10.65,31.99,3.9
,,3.9,3.9,801,3.9,3.9,3.9,3.9,3.9
,,7.23,3.9,3.9,3.9,3.9,3.9,4.94,3.9
,,3.9,,3.9,3.9,3.9,3.9,3.9,801
,,,,,,5.39,3.9,,
