,Date,Cases,3 day moving average
31/12/2021,1,2,
1/1/2022,2,1,1.333333333
2/1/2022,3,1,1
3/1/2022,4,1,1.666666667
4/1/2022,5,3,2.666666667
5/1/2022,6,4,4
6/1/2022,7,5,5.333333333
7/1/2022,8,7,6.333333333
8/1/2022,9,7,6.666666667
9/1/2022,10,6,6
10/1/2022,11,5,6.333333333
11/1/2022,12,8,6.333333333
12/1/2022,13,6,6.666666667
13/1/2022,14,6,5
14/1/2022,15,3,3.666666667
15/1/2022,16,2,2.666666667
16/1/2022,17,3,3
17/1/2022,18,4,6
18/1/2022,19,11,7.333333333
19/1/2022,20,7,9.333333333
20/1/2022,21,10,11.66666667
21/1/2022,22,18,17.66666667
22/1/2022,23,25,56
23/1/2022,24,125,83
24/1/2022,25,99,106.3333333
25/1/2022,26,95,98
26/1/2022,27,100,103.6666667
27/1/2022,28,116,109.3333333
28/1/2022,29,112,104.3333333
29/1/2022,30,85,91.33333333
30/1/2022,31,77,81.33333333
31/1/2022,32,82,96
1/2/2022,33,129,109
2/2/2022,34,116,129
3/2/2022,35,142,129.6666667
4/2/2022,36,131,208
5/2/2022,37,351,274.6666667
6/2/2022,38,342,435.6666667
7/2/2022,39,614,527
8/2/2022,40,625,800
9/2/2022,41,1161,924
10/2/2022,42,986,1157.333333
11/2/2022,43,1325,1275
12/2/2022,44,1514,1395.333333
13/2/2022,45,1347,1644
14/2/2022,46,2071,1679
15/2/2022,47,1619,2658.333333
16/2/2022,48,4285,4023.666667
17/2/2022,49,6167,4726
18/2/2022,50,3726,5491.333333
19/2/2022,51,6581,5553
20/2/2022,52,6352,7077.333333
21/2/2022,53,8299,7582
22/2/2022,54,8095,12527.33333
23/2/2022,55,21188,18066.66667
24/2/2022,56,24917,19189.33333
25/2/2022,57,11463,27702.33333
26/2/2022,58,46727,34277.66667
27/2/2022,59,44643,49182.66667
28/2/2022,60,56178,52159.66667
1/3/2022,61,55658,62725.66667
2/3/2022,62,76341,69663.33333
3/3/2022,63,76991,75338
4/3/2022,64,72682,72418.66667
5/3/2022,65,67583,60022
6/3/2022,66,39801,47926.33333
7/3/2022,67,36395,38315.66667
8/3/2022,68,38751,35202.33333
9/3/2022,69,30461,33538
10/3/2022,70,31402,30414.66667
11/3/2022,71,29381,29476.66667
12/3/2022,72,27647,29819.33333
13/3/2022,73,32430,28995
14/3/2022,74,26908,29034.33333
15/3/2022,75,27765,27981.66667
16/3/2022,76,29272,26229
17/3/2022,77,21650,23668
18/3/2022,78,20082,19443
19/3/2022,79,16597,16942.66667
20/3/2022,80,14149,14938
21/3/2022,81,14068,14123
22/3/2022,82,14152,13486.66667
23/3/2022,83,12240,13155.33333
24/3/2022,84,13074,8438
