,Jan-Feb,Mar-Apr,May-Jun,Jul-Aug,Sep-Oct,Nov-Dec
,3.9,3.9,3.9,5.23,3.9,3.9
,3.9,3.9,3.9,3.9,103.15,3.9
,3.9,3.9,3.9,3.9,3.9,3.9
,3.9,3.9,3.9,3.9,3.9,3.9
,3.9,3.9,3.9,20.52,3.9,3.9
,3.9,3.9,3.9,3.9,30.03,3.9
,3.9,3.9,3.9,3.9,6.79,3.9
,3.9,3.9,3.9,3.9,3.9,4.79
,3.9,3.9,3.9,3.9,3.9,3.9
,3.9,3.9,3.9,3.9,3.9,8.43
,5.18,3.9,3.9,16.18,3.9,3.9
,3.9,3.9,3.9,3.9,3.9,3.9
,3.9,3.9,3.9,3.9,3.9,3.9
,3.9,3.9,3.9,3.9,3.9,3.9
,3.9,3.9,3.9,3.9,3.9,3.9
,3.9,3.9,3.9,3.9,3.9,3.9
,3.9,3.9,3.9,3.9,12.47,4.03
,3.9,3.9,3.9,3.9,3.9,3.9
,3.9,5.37,3.9,3.9,129.46,3.9
,3.9,3.9,3.9,9.63,3.9,3.9
,30.07,3.9,3.9,3.9,3.9,3.9
,3.9,3.9,3.9,3.9,3.9,3.9
,3.9,3.9,3.9,3.9,3.9,3.9
,3.9,3.9,3.9,3.9,20.85,3.9
,3.9,3.9,3.9,3.9,3.9,9.57
,3.9,3.9,3.9,3.9,3.9,3.9
,3.9,3.9,3.9,3.9,3.9,3.9
,4.82,3.9,3.9,3.9,3.9,3.9
,4.38,3.9,3.9,7.72,3.9,3.9
,3.9,3.9,4.33,3.9,3.9,3.9
,10.93,3.9,3.9,3.9,3.9,3.9
,5.67,3.9,3.9,3.9,3.9,3.9
,4.22,3.9,3.9,3.9,,
,,3.9,801,,,
